ilac,yorum,kaynak
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk
majezik,"bas, dis, karin agrisina gayet iyi gelen bir  sanovel  urunu ilac.",eksisozluk
majezik,"endikasyonlar : çeşitli nedenlere bağlı baş ve diş ağrıları, nevraljiler, adet sancıları, romatoid artrit, osteoartrit, ankilozan spondilit, akut gut artriti, eklem romatizmaları, artrozlar, lumbago ve şiddetli radikülaljilerin akut ve uzun süreli semptomatik tedavileri, çeşitli cerrahi operasyonlar, yumuşak doku travmalarına bağlı ağrı ve enflamatuar semptomların giderilmesi, k.b.b. ve stomatolojik rahatsızlıklardaki ağrı ve enflamasyonun giderilmesinde endikedir. kontrendikasyonlar : flurbiprofen'e karşı aşırı duyarlılığı olan kişilerde kontrendikedir. flurbiprofen, aspirin ve diğer nonsteroidal antienflamatuar ilaçların astım, ürtiker veya diğer allerjik reaksiyonlara yol açtığı bilinen kişilerde kontrendikedir. yan etkiler : flurbiprofen tedavisi ile seyrek olarak görülen yan etkiler hafif şiddette, doza bağlı ve geçicidir. dispepsi, bulantı, kusma, abdominal ağrı, gaz şikayetleri, diyare, konstipasyon, ürtiker, baş dönmesi, sinirlilik, kulak çınlaması, bulanık görme, rinit, vücut ağırlığı değişimleri gibi yan etkiler görülebilir.  dozaj : tavsiye edilen günlük doz : bölünmüş dozlar halinde 150 mg - 200 mg'dır. semptomların şiddetine göre günlük doz toplam 300 mg'a çıkarılabilir. adet sancılarında, semptomların başlangıcında 100 mg, bunu takiben 4-6 saatte bir 50 mg - 100 mg'dır. maksimum günlük doz ise, 300 mg'dır.",eksisozluk
majezik,"en kucuk bir agrida, hemen basvurdugum  basucu  ilaci..",eksisozluk
majezik,regl in kesin cozumu majezik arayan bir kadin gordumuzde  regl  oldugunu annamamizi saglayan ilac..  *,eksisozluk
majezik,ağrıdan başını duvarlara vurma noktasına gelenler için en iyi ilaç.yarım saat içinde en dayanılmaz ağrıdan kurtarıyor kıvranan bünyeyi...diğer ağrı kesicilere oranla biraz pahalı ama migren benzeri ağrılarda bile başarılı olduğu düşünülürse kesinlikle fiyatını hak ediyor.,eksisozluk
majezik,orta etkide bir  analjezik . yan etkisinin neredeyse hiç olmaması da bu orta etkililiğinden kaynak alıyor. unutulmamalıdır ki gerçekten etkili olan  ilacın çoğu zaman yan etkisi de olur. etkili bir analjezik için: (bkz:  apranax fort ) *,eksisozluk
majezik,"genelde mide problemi(gastrit,ülser) yaşayan ademoğulları, her painkiller ı öyle kolay alamazlar.(misal;vermidon) bu tarz mide problemi olanların çekinmeden kullanabileceği süper bi ağrı kesicidir. 100 mg lık 20 tabletten oluşan kutucuklar halinde satılan şekli en yaygınıdır. fiyatı da sanırım 12-13 ytl civarlarındadır.",eksisozluk
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk
majezik,"bas, dis, karin agrisina gayet iyi gelen bir  sanovel  urunu ilac.",eksisozluk
majezik,"endikasyonlar : çeşitli nedenlere bağlı baş ve diş ağrıları, nevraljiler, adet sancıları, romatoid artrit, osteoartrit, ankilozan spondilit, akut gut artriti, eklem romatizmaları, artrozlar, lumbago ve şiddetli radikülaljilerin akut ve uzun süreli semptomatik tedavileri, çeşitli cerrahi operasyonlar, yumuşak doku travmalarına bağlı ağrı ve enflamatuar semptomların giderilmesi, k.b.b. ve stomatolojik rahatsızlıklardaki ağrı ve enflamasyonun giderilmesinde endikedir. kontrendikasyonlar : flurbiprofen'e karşı aşırı duyarlılığı olan kişilerde kontrendikedir. flurbiprofen, aspirin ve diğer nonsteroidal antienflamatuar ilaçların astım, ürtiker veya diğer allerjik reaksiyonlara yol açtığı bilinen kişilerde kontrendikedir. yan etkiler : flurbiprofen tedavisi ile seyrek olarak görülen yan etkiler hafif şiddette, doza bağlı ve geçicidir. dispepsi, bulantı, kusma, abdominal ağrı, gaz şikayetleri, diyare, konstipasyon, ürtiker, baş dönmesi, sinirlilik, kulak çınlaması, bulanık görme, rinit, vücut ağırlığı değişimleri gibi yan etkiler görülebilir.  dozaj : tavsiye edilen günlük doz : bölünmüş dozlar halinde 150 mg - 200 mg'dır. semptomların şiddetine göre günlük doz toplam 300 mg'a çıkarılabilir. adet sancılarında, semptomların başlangıcında 100 mg, bunu takiben 4-6 saatte bir 50 mg - 100 mg'dır. maksimum günlük doz ise, 300 mg'dır.",eksisozluk
majezik,"en kucuk bir agrida, hemen basvurdugum  basucu  ilaci..",eksisozluk
majezik,regl in kesin cozumu majezik arayan bir kadin gordumuzde  regl  oldugunu annamamizi saglayan ilac..  *,eksisozluk
majezik,ağrıdan başını duvarlara vurma noktasına gelenler için en iyi ilaç.yarım saat içinde en dayanılmaz ağrıdan kurtarıyor kıvranan bünyeyi...diğer ağrı kesicilere oranla biraz pahalı ama migren benzeri ağrılarda bile başarılı olduğu düşünülürse kesinlikle fiyatını hak ediyor.,eksisozluk
majezik,orta etkide bir  analjezik . yan etkisinin neredeyse hiç olmaması da bu orta etkililiğinden kaynak alıyor. unutulmamalıdır ki gerçekten etkili olan  ilacın çoğu zaman yan etkisi de olur. etkili bir analjezik için: (bkz:  apranax fort ) *,eksisozluk
majezik,"genelde mide problemi(gastrit,ülser) yaşayan ademoğulları, her painkiller ı öyle kolay alamazlar.(misal;vermidon) bu tarz mide problemi olanların çekinmeden kullanabileceği süper bi ağrı kesicidir. 100 mg lık 20 tabletten oluşan kutucuklar halinde satılan şekli en yaygınıdır. fiyatı da sanırım 12-13 ytl civarlarındadır.",eksisozluk
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk
majezik,"bas, dis, karin agrisina gayet iyi gelen bir  sanovel  urunu ilac.",eksisozluk
majezik,"endikasyonlar : çeşitli nedenlere bağlı baş ve diş ağrıları, nevraljiler, adet sancıları, romatoid artrit, osteoartrit, ankilozan spondilit, akut gut artriti, eklem romatizmaları, artrozlar, lumbago ve şiddetli radikülaljilerin akut ve uzun süreli semptomatik tedavileri, çeşitli cerrahi operasyonlar, yumuşak doku travmalarına bağlı ağrı ve enflamatuar semptomların giderilmesi, k.b.b. ve stomatolojik rahatsızlıklardaki ağrı ve enflamasyonun giderilmesinde endikedir. kontrendikasyonlar : flurbiprofen'e karşı aşırı duyarlılığı olan kişilerde kontrendikedir. flurbiprofen, aspirin ve diğer nonsteroidal antienflamatuar ilaçların astım, ürtiker veya diğer allerjik reaksiyonlara yol açtığı bilinen kişilerde kontrendikedir. yan etkiler : flurbiprofen tedavisi ile seyrek olarak görülen yan etkiler hafif şiddette, doza bağlı ve geçicidir. dispepsi, bulantı, kusma, abdominal ağrı, gaz şikayetleri, diyare, konstipasyon, ürtiker, baş dönmesi, sinirlilik, kulak çınlaması, bulanık görme, rinit, vücut ağırlığı değişimleri gibi yan etkiler görülebilir.  dozaj : tavsiye edilen günlük doz : bölünmüş dozlar halinde 150 mg - 200 mg'dır. semptomların şiddetine göre günlük doz toplam 300 mg'a çıkarılabilir. adet sancılarında, semptomların başlangıcında 100 mg, bunu takiben 4-6 saatte bir 50 mg - 100 mg'dır. maksimum günlük doz ise, 300 mg'dır.",eksisozluk
majezik,"en kucuk bir agrida, hemen basvurdugum  basucu  ilaci..",eksisozluk
majezik,regl in kesin cozumu majezik arayan bir kadin gordumuzde  regl  oldugunu annamamizi saglayan ilac..  *,eksisozluk
majezik,ağrıdan başını duvarlara vurma noktasına gelenler için en iyi ilaç.yarım saat içinde en dayanılmaz ağrıdan kurtarıyor kıvranan bünyeyi...diğer ağrı kesicilere oranla biraz pahalı ama migren benzeri ağrılarda bile başarılı olduğu düşünülürse kesinlikle fiyatını hak ediyor.,eksisozluk
majezik,orta etkide bir  analjezik . yan etkisinin neredeyse hiç olmaması da bu orta etkililiğinden kaynak alıyor. unutulmamalıdır ki gerçekten etkili olan  ilacın çoğu zaman yan etkisi de olur. etkili bir analjezik için: (bkz:  apranax fort ) *,eksisozluk
majezik,"genelde mide problemi(gastrit,ülser) yaşayan ademoğulları, her painkiller ı öyle kolay alamazlar.(misal;vermidon) bu tarz mide problemi olanların çekinmeden kullanabileceği süper bi ağrı kesicidir. 100 mg lık 20 tabletten oluşan kutucuklar halinde satılan şekli en yaygınıdır. fiyatı da sanırım 12-13 ytl civarlarındadır.",eksisozluk
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk
majezik,"bas, dis, karin agrisina gayet iyi gelen bir  sanovel  urunu ilac.",eksisozluk
majezik,"endikasyonlar : çeşitli nedenlere bağlı baş ve diş ağrıları, nevraljiler, adet sancıları, romatoid artrit, osteoartrit, ankilozan spondilit, akut gut artriti, eklem romatizmaları, artrozlar, lumbago ve şiddetli radikülaljilerin akut ve uzun süreli semptomatik tedavileri, çeşitli cerrahi operasyonlar, yumuşak doku travmalarına bağlı ağrı ve enflamatuar semptomların giderilmesi, k.b.b. ve stomatolojik rahatsızlıklardaki ağrı ve enflamasyonun giderilmesinde endikedir. kontrendikasyonlar : flurbiprofen'e karşı aşırı duyarlılığı olan kişilerde kontrendikedir. flurbiprofen, aspirin ve diğer nonsteroidal antienflamatuar ilaçların astım, ürtiker veya diğer allerjik reaksiyonlara yol açtığı bilinen kişilerde kontrendikedir. yan etkiler : flurbiprofen tedavisi ile seyrek olarak görülen yan etkiler hafif şiddette, doza bağlı ve geçicidir. dispepsi, bulantı, kusma, abdominal ağrı, gaz şikayetleri, diyare, konstipasyon, ürtiker, baş dönmesi, sinirlilik, kulak çınlaması, bulanık görme, rinit, vücut ağırlığı değişimleri gibi yan etkiler görülebilir.  dozaj : tavsiye edilen günlük doz : bölünmüş dozlar halinde 150 mg - 200 mg'dır. semptomların şiddetine göre günlük doz toplam 300 mg'a çıkarılabilir. adet sancılarında, semptomların başlangıcında 100 mg, bunu takiben 4-6 saatte bir 50 mg - 100 mg'dır. maksimum günlük doz ise, 300 mg'dır.",eksisozluk
majezik,"en kucuk bir agrida, hemen basvurdugum  basucu  ilaci..",eksisozluk
majezik,regl in kesin cozumu majezik arayan bir kadin gordumuzde  regl  oldugunu annamamizi saglayan ilac..  *,eksisozluk
majezik,ağrıdan başını duvarlara vurma noktasına gelenler için en iyi ilaç.yarım saat içinde en dayanılmaz ağrıdan kurtarıyor kıvranan bünyeyi...diğer ağrı kesicilere oranla biraz pahalı ama migren benzeri ağrılarda bile başarılı olduğu düşünülürse kesinlikle fiyatını hak ediyor.,eksisozluk
majezik,orta etkide bir  analjezik . yan etkisinin neredeyse hiç olmaması da bu orta etkililiğinden kaynak alıyor. unutulmamalıdır ki gerçekten etkili olan  ilacın çoğu zaman yan etkisi de olur. etkili bir analjezik için: (bkz:  apranax fort ) *,eksisozluk
majezik,"genelde mide problemi(gastrit,ülser) yaşayan ademoğulları, her painkiller ı öyle kolay alamazlar.(misal;vermidon) bu tarz mide problemi olanların çekinmeden kullanabileceği süper bi ağrı kesicidir. 100 mg lık 20 tabletten oluşan kutucuklar halinde satılan şekli en yaygınıdır. fiyatı da sanırım 12-13 ytl civarlarındadır.",eksisozluk
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk
majezik,"bas, dis, karin agrisina gayet iyi gelen bir  sanovel  urunu ilac.",eksisozluk
majezik,"endikasyonlar : çeşitli nedenlere bağlı baş ve diş ağrıları, nevraljiler, adet sancıları, romatoid artrit, osteoartrit, ankilozan spondilit, akut gut artriti, eklem romatizmaları, artrozlar, lumbago ve şiddetli radikülaljilerin akut ve uzun süreli semptomatik tedavileri, çeşitli cerrahi operasyonlar, yumuşak doku travmalarına bağlı ağrı ve enflamatuar semptomların giderilmesi, k.b.b. ve stomatolojik rahatsızlıklardaki ağrı ve enflamasyonun giderilmesinde endikedir. kontrendikasyonlar : flurbiprofen'e karşı aşırı duyarlılığı olan kişilerde kontrendikedir. flurbiprofen, aspirin ve diğer nonsteroidal antienflamatuar ilaçların astım, ürtiker veya diğer allerjik reaksiyonlara yol açtığı bilinen kişilerde kontrendikedir. yan etkiler : flurbiprofen tedavisi ile seyrek olarak görülen yan etkiler hafif şiddette, doza bağlı ve geçicidir. dispepsi, bulantı, kusma, abdominal ağrı, gaz şikayetleri, diyare, konstipasyon, ürtiker, baş dönmesi, sinirlilik, kulak çınlaması, bulanık görme, rinit, vücut ağırlığı değişimleri gibi yan etkiler görülebilir.  dozaj : tavsiye edilen günlük doz : bölünmüş dozlar halinde 150 mg - 200 mg'dır. semptomların şiddetine göre günlük doz toplam 300 mg'a çıkarılabilir. adet sancılarında, semptomların başlangıcında 100 mg, bunu takiben 4-6 saatte bir 50 mg - 100 mg'dır. maksimum günlük doz ise, 300 mg'dır.",eksisozluk
majezik,"en kucuk bir agrida, hemen basvurdugum  basucu  ilaci..",eksisozluk
majezik,regl in kesin cozumu majezik arayan bir kadin gordumuzde  regl  oldugunu annamamizi saglayan ilac..  *,eksisozluk
majezik,ağrıdan başını duvarlara vurma noktasına gelenler için en iyi ilaç.yarım saat içinde en dayanılmaz ağrıdan kurtarıyor kıvranan bünyeyi...diğer ağrı kesicilere oranla biraz pahalı ama migren benzeri ağrılarda bile başarılı olduğu düşünülürse kesinlikle fiyatını hak ediyor.,eksisozluk
majezik,orta etkide bir  analjezik . yan etkisinin neredeyse hiç olmaması da bu orta etkililiğinden kaynak alıyor. unutulmamalıdır ki gerçekten etkili olan  ilacın çoğu zaman yan etkisi de olur. etkili bir analjezik için: (bkz:  apranax fort ) *,eksisozluk
majezik,"genelde mide problemi(gastrit,ülser) yaşayan ademoğulları, her painkiller ı öyle kolay alamazlar.(misal;vermidon) bu tarz mide problemi olanların çekinmeden kullanabileceği süper bi ağrı kesicidir. 100 mg lık 20 tabletten oluşan kutucuklar halinde satılan şekli en yaygınıdır. fiyatı da sanırım 12-13 ytl civarlarındadır.",eksisozluk
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk
majezik,"bas, dis, karin agrisina gayet iyi gelen bir  sanovel  urunu ilac.",eksisozluk
majezik,"endikasyonlar : çeşitli nedenlere bağlı baş ve diş ağrıları, nevraljiler, adet sancıları, romatoid artrit, osteoartrit, ankilozan spondilit, akut gut artriti, eklem romatizmaları, artrozlar, lumbago ve şiddetli radikülaljilerin akut ve uzun süreli semptomatik tedavileri, çeşitli cerrahi operasyonlar, yumuşak doku travmalarına bağlı ağrı ve enflamatuar semptomların giderilmesi, k.b.b. ve stomatolojik rahatsızlıklardaki ağrı ve enflamasyonun giderilmesinde endikedir. kontrendikasyonlar : flurbiprofen'e karşı aşırı duyarlılığı olan kişilerde kontrendikedir. flurbiprofen, aspirin ve diğer nonsteroidal antienflamatuar ilaçların astım, ürtiker veya diğer allerjik reaksiyonlara yol açtığı bilinen kişilerde kontrendikedir. yan etkiler : flurbiprofen tedavisi ile seyrek olarak görülen yan etkiler hafif şiddette, doza bağlı ve geçicidir. dispepsi, bulantı, kusma, abdominal ağrı, gaz şikayetleri, diyare, konstipasyon, ürtiker, baş dönmesi, sinirlilik, kulak çınlaması, bulanık görme, rinit, vücut ağırlığı değişimleri gibi yan etkiler görülebilir.  dozaj : tavsiye edilen günlük doz : bölünmüş dozlar halinde 150 mg - 200 mg'dır. semptomların şiddetine göre günlük doz toplam 300 mg'a çıkarılabilir. adet sancılarında, semptomların başlangıcında 100 mg, bunu takiben 4-6 saatte bir 50 mg - 100 mg'dır. maksimum günlük doz ise, 300 mg'dır.",eksisozluk
majezik,"en kucuk bir agrida, hemen basvurdugum  basucu  ilaci..",eksisozluk
majezik,regl in kesin cozumu majezik arayan bir kadin gordumuzde  regl  oldugunu annamamizi saglayan ilac..  *,eksisozluk
majezik,ağrıdan başını duvarlara vurma noktasına gelenler için en iyi ilaç.yarım saat içinde en dayanılmaz ağrıdan kurtarıyor kıvranan bünyeyi...diğer ağrı kesicilere oranla biraz pahalı ama migren benzeri ağrılarda bile başarılı olduğu düşünülürse kesinlikle fiyatını hak ediyor.,eksisozluk
majezik,orta etkide bir  analjezik . yan etkisinin neredeyse hiç olmaması da bu orta etkililiğinden kaynak alıyor. unutulmamalıdır ki gerçekten etkili olan  ilacın çoğu zaman yan etkisi de olur. etkili bir analjezik için: (bkz:  apranax fort ) *,eksisozluk
majezik,"genelde mide problemi(gastrit,ülser) yaşayan ademoğulları, her painkiller ı öyle kolay alamazlar.(misal;vermidon) bu tarz mide problemi olanların çekinmeden kullanabileceği süper bi ağrı kesicidir. 100 mg lık 20 tabletten oluşan kutucuklar halinde satılan şekli en yaygınıdır. fiyatı da sanırım 12-13 ytl civarlarındadır.",eksisozluk
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk
majezik,"bas, dis, karin agrisina gayet iyi gelen bir  sanovel  urunu ilac.",eksisozluk
majezik,"endikasyonlar : çeşitli nedenlere bağlı baş ve diş ağrıları, nevraljiler, adet sancıları, romatoid artrit, osteoartrit, ankilozan spondilit, akut gut artriti, eklem romatizmaları, artrozlar, lumbago ve şiddetli radikülaljilerin akut ve uzun süreli semptomatik tedavileri, çeşitli cerrahi operasyonlar, yumuşak doku travmalarına bağlı ağrı ve enflamatuar semptomların giderilmesi, k.b.b. ve stomatolojik rahatsızlıklardaki ağrı ve enflamasyonun giderilmesinde endikedir. kontrendikasyonlar : flurbiprofen'e karşı aşırı duyarlılığı olan kişilerde kontrendikedir. flurbiprofen, aspirin ve diğer nonsteroidal antienflamatuar ilaçların astım, ürtiker veya diğer allerjik reaksiyonlara yol açtığı bilinen kişilerde kontrendikedir. yan etkiler : flurbiprofen tedavisi ile seyrek olarak görülen yan etkiler hafif şiddette, doza bağlı ve geçicidir. dispepsi, bulantı, kusma, abdominal ağrı, gaz şikayetleri, diyare, konstipasyon, ürtiker, baş dönmesi, sinirlilik, kulak çınlaması, bulanık görme, rinit, vücut ağırlığı değişimleri gibi yan etkiler görülebilir.  dozaj : tavsiye edilen günlük doz : bölünmüş dozlar halinde 150 mg - 200 mg'dır. semptomların şiddetine göre günlük doz toplam 300 mg'a çıkarılabilir. adet sancılarında, semptomların başlangıcında 100 mg, bunu takiben 4-6 saatte bir 50 mg - 100 mg'dır. maksimum günlük doz ise, 300 mg'dır.",eksisozluk
majezik,"en kucuk bir agrida, hemen basvurdugum  basucu  ilaci..",eksisozluk
majezik,regl in kesin cozumu majezik arayan bir kadin gordumuzde  regl  oldugunu annamamizi saglayan ilac..  *,eksisozluk
majezik,ağrıdan başını duvarlara vurma noktasına gelenler için en iyi ilaç.yarım saat içinde en dayanılmaz ağrıdan kurtarıyor kıvranan bünyeyi...diğer ağrı kesicilere oranla biraz pahalı ama migren benzeri ağrılarda bile başarılı olduğu düşünülürse kesinlikle fiyatını hak ediyor.,eksisozluk
majezik,orta etkide bir  analjezik . yan etkisinin neredeyse hiç olmaması da bu orta etkililiğinden kaynak alıyor. unutulmamalıdır ki gerçekten etkili olan  ilacın çoğu zaman yan etkisi de olur. etkili bir analjezik için: (bkz:  apranax fort ) *,eksisozluk
majezik,"genelde mide problemi(gastrit,ülser) yaşayan ademoğulları, her painkiller ı öyle kolay alamazlar.(misal;vermidon) bu tarz mide problemi olanların çekinmeden kullanabileceği süper bi ağrı kesicidir. 100 mg lık 20 tabletten oluşan kutucuklar halinde satılan şekli en yaygınıdır. fiyatı da sanırım 12-13 ytl civarlarındadır.",eksisozluk
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk
parol,paracetamol  içerikli ağrı kesici,eksisozluk
parol,özellikle  baş ağrısı  için tavsiye edilir.  mide ülseri olanların da rahatlıkla kullandığı ağrı kesicilerdendir. (bkz:  gripin ),eksisozluk
parol,"şu sıralar eczanelerden pek alınmaması gereken ağrı kesici. ""kıl"" içermekteymiş ve halen emir olmasına rağmen piyasadan çekilmemiş.  http://www.beo.org.tr/…e=news&file=article&sid=1307",eksisozluk
parol,ağrıyan  yirmi yaş dişi me  hele otur bi soluklan yiğenim  diyen ilaç. *  belki de psikolojiktir bilemem.,eksisozluk
parol,ağrı kesicili ateş düşürücü..,eksisozluk
parol,"alkolle etkileşimini henüz görmediğim, akşam edit yapabilirsem bana bişey yapmadığını söyleyebileceğim ilaç. edit: rahatça içiniz. postedit: ilk editimi akşamına yapmışım, kafam hala güzelmiş herhalde. yazılır mı böyle şey. düzeltiyorum: ben öldüm, siz de içip ölmeyin.",eksisozluk
parol,"migren tedavisinde atak gelmeden önce iki tane alınması doktor tarafından tavsiye edilen ağrı kesici,ateş düşürücü",eksisozluk
parol,hamilelerin içebileceği bebeğe zarar vermeyen yegane tek ilaç.  (bkz:  hamileyim ) (bkz:  ordan biliyorum ),eksisozluk
parol,paracetamol  içerikli ağrı kesici,eksisozluk
parol,özellikle  baş ağrısı  için tavsiye edilir.  mide ülseri olanların da rahatlıkla kullandığı ağrı kesicilerdendir. (bkz:  gripin ),eksisozluk
parol,"şu sıralar eczanelerden pek alınmaması gereken ağrı kesici. ""kıl"" içermekteymiş ve halen emir olmasına rağmen piyasadan çekilmemiş.  http://www.beo.org.tr/…e=news&file=article&sid=1307",eksisozluk
parol,ağrıyan  yirmi yaş dişi me  hele otur bi soluklan yiğenim  diyen ilaç. *  belki de psikolojiktir bilemem.,eksisozluk
parol,ağrı kesicili ateş düşürücü..,eksisozluk
parol,"alkolle etkileşimini henüz görmediğim, akşam edit yapabilirsem bana bişey yapmadığını söyleyebileceğim ilaç. edit: rahatça içiniz. postedit: ilk editimi akşamına yapmışım, kafam hala güzelmiş herhalde. yazılır mı böyle şey. düzeltiyorum: ben öldüm, siz de içip ölmeyin.",eksisozluk
parol,"migren tedavisinde atak gelmeden önce iki tane alınması doktor tarafından tavsiye edilen ağrı kesici,ateş düşürücü",eksisozluk
parol,hamilelerin içebileceği bebeğe zarar vermeyen yegane tek ilaç.  (bkz:  hamileyim ) (bkz:  ordan biliyorum ),eksisozluk
parol,paracetamol  içerikli ağrı kesici,eksisozluk
parol,özellikle  baş ağrısı  için tavsiye edilir.  mide ülseri olanların da rahatlıkla kullandığı ağrı kesicilerdendir. (bkz:  gripin ),eksisozluk
parol,"şu sıralar eczanelerden pek alınmaması gereken ağrı kesici. ""kıl"" içermekteymiş ve halen emir olmasına rağmen piyasadan çekilmemiş.  http://www.beo.org.tr/…e=news&file=article&sid=1307",eksisozluk
parol,ağrıyan  yirmi yaş dişi me  hele otur bi soluklan yiğenim  diyen ilaç. *  belki de psikolojiktir bilemem.,eksisozluk
parol,ağrı kesicili ateş düşürücü..,eksisozluk
parol,"alkolle etkileşimini henüz görmediğim, akşam edit yapabilirsem bana bişey yapmadığını söyleyebileceğim ilaç. edit: rahatça içiniz. postedit: ilk editimi akşamına yapmışım, kafam hala güzelmiş herhalde. yazılır mı böyle şey. düzeltiyorum: ben öldüm, siz de içip ölmeyin.",eksisozluk
parol,"migren tedavisinde atak gelmeden önce iki tane alınması doktor tarafından tavsiye edilen ağrı kesici,ateş düşürücü",eksisozluk
parol,hamilelerin içebileceği bebeğe zarar vermeyen yegane tek ilaç.  (bkz:  hamileyim ) (bkz:  ordan biliyorum ),eksisozluk
parol,paracetamol  içerikli ağrı kesici,eksisozluk
parol,özellikle  baş ağrısı  için tavsiye edilir.  mide ülseri olanların da rahatlıkla kullandığı ağrı kesicilerdendir. (bkz:  gripin ),eksisozluk
parol,"şu sıralar eczanelerden pek alınmaması gereken ağrı kesici. ""kıl"" içermekteymiş ve halen emir olmasına rağmen piyasadan çekilmemiş.  http://www.beo.org.tr/…e=news&file=article&sid=1307",eksisozluk
parol,ağrıyan  yirmi yaş dişi me  hele otur bi soluklan yiğenim  diyen ilaç. *  belki de psikolojiktir bilemem.,eksisozluk
parol,ağrı kesicili ateş düşürücü..,eksisozluk
parol,"alkolle etkileşimini henüz görmediğim, akşam edit yapabilirsem bana bişey yapmadığını söyleyebileceğim ilaç. edit: rahatça içiniz. postedit: ilk editimi akşamına yapmışım, kafam hala güzelmiş herhalde. yazılır mı böyle şey. düzeltiyorum: ben öldüm, siz de içip ölmeyin.",eksisozluk
parol,"migren tedavisinde atak gelmeden önce iki tane alınması doktor tarafından tavsiye edilen ağrı kesici,ateş düşürücü",eksisozluk
parol,hamilelerin içebileceği bebeğe zarar vermeyen yegane tek ilaç.  (bkz:  hamileyim ) (bkz:  ordan biliyorum ),eksisozluk
parol,paracetamol  içerikli ağrı kesici,eksisozluk
parol,özellikle  baş ağrısı  için tavsiye edilir.  mide ülseri olanların da rahatlıkla kullandığı ağrı kesicilerdendir. (bkz:  gripin ),eksisozluk
parol,"şu sıralar eczanelerden pek alınmaması gereken ağrı kesici. ""kıl"" içermekteymiş ve halen emir olmasına rağmen piyasadan çekilmemiş.  http://www.beo.org.tr/…e=news&file=article&sid=1307",eksisozluk
parol,ağrıyan  yirmi yaş dişi me  hele otur bi soluklan yiğenim  diyen ilaç. *  belki de psikolojiktir bilemem.,eksisozluk
parol,ağrı kesicili ateş düşürücü..,eksisozluk
parol,"alkolle etkileşimini henüz görmediğim, akşam edit yapabilirsem bana bişey yapmadığını söyleyebileceğim ilaç. edit: rahatça içiniz. postedit: ilk editimi akşamına yapmışım, kafam hala güzelmiş herhalde. yazılır mı böyle şey. düzeltiyorum: ben öldüm, siz de içip ölmeyin.",eksisozluk
parol,"migren tedavisinde atak gelmeden önce iki tane alınması doktor tarafından tavsiye edilen ağrı kesici,ateş düşürücü",eksisozluk
parol,hamilelerin içebileceği bebeğe zarar vermeyen yegane tek ilaç.  (bkz:  hamileyim ) (bkz:  ordan biliyorum ),eksisozluk
parol,paracetamol  içerikli ağrı kesici,eksisozluk
parol,özellikle  baş ağrısı  için tavsiye edilir.  mide ülseri olanların da rahatlıkla kullandığı ağrı kesicilerdendir. (bkz:  gripin ),eksisozluk
parol,"şu sıralar eczanelerden pek alınmaması gereken ağrı kesici. ""kıl"" içermekteymiş ve halen emir olmasına rağmen piyasadan çekilmemiş.  http://www.beo.org.tr/…e=news&file=article&sid=1307",eksisozluk
